	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
SLC37A2	1.492	1.57	2.224	1.045	2.376
NDUFS5	143.157	155.169	219.249	181.366	124.298
EPHA7	0.32	0.115	0.248	0.302	0.078
OTUD4	10.006	6.124	6.379	5.29	10.313
TMED10	96.889	45.964	72.962	56.343	88.745
SPAG9	6.884	15.394	5.585	12.517	6.173
COL6A6	0.1	0.121	0.016	0.061	0.027
SH3RF2	6.832	2.633	13.705	1.874	22.283
CPN2	0.065	0	0.011	0.045	0.037
ATG10	2.102	3.737	2.102	1.948	2.864
FXYD3	35.085	0.172	26.137	0.173	60.238
NLRC4	0.197	0.274	0.306	0.388	0.402
VPRBP	10.489	8.197	10.106	9.847	8.341
CP	5.254	0.744	14.156	0.629	78.94
TMOD4	0.15	0.267	0.298	0.122	0.199
LIN7A	0.225	5.128	0.242	2.4	0.248
SNORD36C	0	0	0	0	0
COG8	10.621	8.133	13.1	6.821	7.634
ZNF142	4.47	4.727	5.091	3.518	3.754
TUFM	75.941	45.463	93.641	51.377	89.979
TBRG1	5.3	5.326	5.92	4.192	6.282
TSGA10IP	0	0.077	0	0	0
MAP3K1	9.836	1.712	7.668	2.471	10.018
SNORD114-1	0	0	0	0	0
SNORD116-4	7.547	3.471	4.859	2.648	3.664
CT47A7	0	0	0	0	0
KRTAP13-2	0	0.036	0	0	0
CEACAM6	1.066	0.07	1.909	0.013	0.707
DNM2	31.769	23.838	36.788	22.27	29.337
RASGRP2	2.301	8.663	3.169	11.507	2.136
CEL	12.353	0.334	5.274	0.206	3.481
LGALS13	0	0	0	0	0
THBS1	15.348	327.274	23.363	67.685	19.382
CPNE8	1.917	2.52	1.995	3.427	1.196
DHX34	10.776	6.23	15.345	5.638	10.703
C1QBP	31.819	16.259	39.839	30.329	35.213
CYB5RL	1.168	1.196	1.404	0.795	0.86
GSR	22.496	10.456	20.574	10.758	19.37
SNAR-A3	0	0.759	0	0	0
IL17RA	3.468	3.213	3.732	4.49	3.828
GRAMD4	8.901	3.653	8.008	3.779	5.335
TNMD	0	0.014	0.016	0.271	0
ATXN2L	30.642	24.014	34.241	15.696	32.874
KBTBD3	1.825	1.587	1.416	1.183	1.356
CD38	3.257	0.041	1.83	0.117	2.586
COL9A3	1.317	0.246	1.986	1.311	0.247
PAQR7	19.458	9.545	15.632	13.484	12.269
ADAMTS2	0.854	4.531	0.918	11.077	0.608
ANO6	14.471	19.152	10.92	25.688	12.536
PTPRU	29.759	2.118	24.574	5.539	29.732
CRTAP	29.71	40.271	34.242	60.117	32.48
RILPL2	18.03	15.352	23.597	18.032	25.188
SETD3	30.642	17.603	23.406	17.707	25.234
ZNF227	3.755	3.46	3.704	3.4	3.582
IDH3G	36.699	29.764	45.371	30.979	36.842
ANO5	0.318	1.424	0.287	1.206	0.576
CYP46A1	0.838	2.54	1.259	0.7	0.851
UCKL1	14.635	11.832	19.46	10.781	14.603
HIC2	1.262	0.966	1.526	0.658	0.953
HOXA2	1.214	0.547	1.107	0.47	0.511
SDC2	12.262	26.105	9.602	38.767	14.336
UNC5D	0.215	0.268	0.011	0.241	0.013
CDRT1	0.788	0.513	0.859	0.126	0.343
LOC388796	7.446	8.908	12.367	6.982	15.702
C22orf15	12.503	0.696	5.909	0.279	12.893
RSPO3	2.344	65.694	3.94	62.683	4.384
HOOK2	14.086	3.874	16.172	3.18	14.125
PGR	4.311	32.872	7.469	40.018	19.011
ZDHHC1	22.08	8.367	18.4	8.134	16.273
ZBTB38	9.125	17.745	8.91	16.643	11.283
POM121L9P	0.077	0.141	0.098	0.101	0.285
KIAA1875	0.577	0.318	0.505	0.063	0.714
ZBED3	2.151	3.066	2.972	1.366	1.394
12-Sep	0.063	0.135	0.025	0	0.021
LRRTM3	0	0.031	0.017	0	0
TSPAN18	7.633	49.252	7.483	52.747	5.65
ARMC5	4.454	4.875	7.796	4.998	4.274
PDZD2	5.627	6.209	4.432	6.269	4.438
PVRL3	6.438	4.286	4.612	3.794	4.351
EIF5B	24.51	25.227	18.422	31.366	21.401
AEN	7.753	3.54	8.352	4.823	8.471
CDK15	0.109	0.214	0	0.201	0
HNRNPC	107.819	52.791	107.301	79.396	93.925
ERMN	0.031	0	0.037	0.019	0.031
HOXB7	6.007	2.2	5.682	4.049	9.249
AMFR	48.303	46.706	53.493	51.754	61.074
NAT6	6.274	6.707	10.346	4.833	8.602
PROM1	6.45	0.031	2.315	0.054	30.293
VAMP1	2.468	4.298	2.052	3.764	3.249
OR4A15	0	0	0	0	0
RAB11FIP5	6.796	13.707	7.466	13.819	7.41
SAMD9L	2.326	2.43	2.352	2.075	3.497
PRDM1	1.6	1.772	1.264	1.782	2.018
RHOT1	8.418	9.761	6.593	9.09	6.707
HSD11B2	4.709	5.886	7.683	13.436	2.14
RAB20	7.894	1.94	8.151	1.788	12.327
WDR26	18.445	16.857	15.892	15.932	19.723
ADAMTS13	2.245	1.689	4.048	0.755	3.198
CACNA1F	0.175	0.02	0.423	0.041	0.335
PYCARD	16.075	5.425	35.9	11.198	23.796
RBBP9	5.848	6.995	5.075	4.683	4.939
LRRC29	2.807	2.343	3.718	1.38	3.524
FAM120B	16.475	13.429	15.013	12.176	15.022
FAM135A	3.766	4.315	2.698	3.556	4.773
C6orf48	109.659	84.182	215.381	147.939	202.205
TIPARP	7.544	7.603	9.66	14.371	7.227
CLDN2	0.262	0.1	0.212	0.011	0.14
GFM1	8.619	6.186	6.25	8.259	6.526
BNIP3L	24.238	19.947	17.699	25.847	29.058
C1orf58	9.226	8.956	6.384	6.917	7.023
DPY19L2P4	0.255	0.152	0.576	0.243	0.482
LOC100190940	0.016	0.052	0.029	0.02	0.024
CEP192	4.296	2.885	3.854	2.75	4.14
COX7A1	11.441	28.448	15.579	26.375	4.861
SPPL3	17.521	13.649	16.646	16.387	16.577
THOC3	8.131	6.072	21.22	9.943	8.542
CPSF2	8.317	7.52	5.768	7.679	8.345
TFF3	66.683	3.663	44.494	5.221	18.55
FXYD4	0.036	0.078	0	0	0
TFAP2A	0.109	0.068	0.076	0.078	0.082
NXF2B	0.702	0.056	0.241	0	0.825
ZFP82	2.411	1.986	2.347	2.794	1.77
TMEM146	7.385	0.31	4.56	0.044	3.831
SRRM3	0.395	1.319	0.664	2.404	0.344
CWF19L1	8.901	6.611	8.009	5.503	8.245
KIF2A	10.245	4.073	4.077	4.324	8.173
PRKY	0.468	0.081	0.379	0.087	0.373
EFS	6.35	10.531	7.737	6.858	1.565
UXS1	25.531	8.456	23.005	12.016	18.825
C1orf216	2.683	7.738	4.938	10.421	3.443
UBLCP1	8.182	6.64	6.011	9.078	7.707
KRTAP2-2	0	0	0	0	0
LHCGR	0.014	0.015	0	0	0.014
MTMR14	12.296	9.979	15.166	10.679	14.681
KITLG	1.364	6.065	0.677	9.24	1.089
SKI	16.324	23.74	20.931	28.194	13.339
ZWINT	1.629	1.231	2.136	0.521	3.489
ALOX5AP	8.017	3.861	9.538	10.928	20.356
PIGT	70.724	60.853	65.845	67.337	63.819
UBE2H	22.367	16.975	18.307	17.374	24.329
CAPNS1	270.854	177.03	291.167	196.704	300.572
SLC1A2	0.109	0.127	0.092	0.121	0.154
PSG9	0	0.039	0	0	0.018
SCARNA18	0	0	0	0	0
ABI3	3.011	4.95	4.948	7.095	8.032
GUCY1A2	0.987	2.393	0.759	4.312	1.176
CLEC1B	0	0.033	0	0.038	0
PDXK	29.675	8.688	33.221	9.661	26.541
SSBP2	14.5	19.829	12.243	15.397	14.378
OTUD1	8.188	7.001	6.178	6.721	7.638
HINT2	25.585	12.827	28.565	13.403	23.925
WASF3	4.16	3.581	3.116	3.654	3.278
MSL3L2	1.065	0.308	0.928	0.317	1.08
TRPC1	2.562	4.458	2.037	3.887	2.471
RGAG1	0.076	0.063	0.035	0.043	0.029
TNFAIP8L2	1.238	0.932	2.546	1.489	3.027
FAM71A	0.025	0.013	0	0	0.025
GPT	2.927	0.421	3.062	0.096	2.926
CA1	0.021	0.023	0	0.132	0
FAM71F2	1.081	0.856	0.836	0.27	2.101
C9orf23	18.325	11.742	24.24	13.069	19.127
TRIT1	12.074	4.241	10.801	5.691	10.508
SNX1	13.794	15.107	12.035	20.568	11.749
CD3G	0.945	0.419	0.495	0.621	2.074
M6PR	32.422	16.371	28.599	19.317	29.225
CDKN2B	0.799	2.035	0.564	1.388	1.191
FAM82A1	1.746	2.639	1.089	2.678	1.62
TBC1D3G	0.391	0.404	0.86	0.209	1.025
ASPA	0.755	1.309	0.926	1.826	0.245
C4orf43	6.4	3.675	5.242	6.983	5.432
TRIM47	9.641	12.254	12.028	16.611	21.421
OR2V2	0	0	0.108	0	0.03
ACR	1.026	0.679	1.137	0.209	0.903
ZNF528	3.658	2.976	4.626	2.022	4.119
FLNA	261.312	3592.991	363.609	2016.024	267.275
SYS1-DBNDD2	4.49	4.673	4.652	4.701	6.645
SLC37A4	18.999	5.243	22.779	4.84	21.551
C12orf65	10.196	9.126	10.62	6.308	11.94
PRDM4	7.812	5.51	7.375	6.901	7.532
IL15RA	8.338	3.43	9.37	5.418	8.899
POU2F3	0.782	0.196	1.06	0.059	1.728
RBMY1F	0	0	0	0	0
PLK2	11.939	14.437	9.967	19.458	15.729
OSBPL3	6	0.36	4.303	0.328	6.276
AARS2	6.123	3.909	7.131	3.263	4.8
BECN1	19.927	18.387	17.918	19.935	23.244
SNORA55	0	0	0.249	0	0
MAP2K4	8.501	5.747	5.995	6.133	7.351
CILP2	0.238	0.044	0.341	0.058	0.088
CFC1B	1.567	0.028	3.772	0	0.392
GAA	23.599	22.142	31.756	23.638	28.642
KIAA1324	36.272	1.23	17.202	0.482	23.8
RPL12	1318.29	486.789	2238.102	771.658	1921.654
CD22	34.72	1.064	27.553	0.74	25.485
CNTN3	3.534	0.037	1.58	0.077	4.765
UBQLNL	0.11	0.234	0.291	0.09	0.329
IPO4	21.497	6.94	24.979	8.977	21.885
ZMPSTE24	16.325	14.474	11.592	16.464	13.774
DDX28	4.941	2.164	6.23	3.172	4.859
ELMOD2	4.609	3.037	2.99	2.888	4.061
SPANXB2	0	0	0	0	0
IP6K1	17.8	20.629	19.49	18.565	15.936
FAM83H	19.509	0.06	30.142	0.03	18.272
ZCCHC9	6.655	6.67	8.087	6.721	7.506
SNRPA	45.362	33.847	53.56	32.615	45.946
PABPC1	327.857	176.523	360.794	304.275	501.146
C19orf73	0.224	0.24	0.938	0.367	0.299
PCDHB7	1.364	3.484	0.975	2.341	0.239
WDR4	2.876	1.416	4.029	2.111	2.848
LY6G6D	0.511	0.341	0.153	0.235	0
ABCC11	0.415	0.028	0.885	0.022	0.203
SNORA20	0.217	0.232	0.259	0	0
HBXIP	39.265	24.084	44.879	29.814	48.3
11-Sep	9.665	11.668	6.106	29.22	7.92
PDE7A	2.1	2.782	1.908	2.3	8.437
MBD3L5	0	0.079	0	0	0
FLJ46361	0.138	0.335	0.173	0.084	0.275
RPL23AP32	0.231	0.345	0.11	0.113	0
SOCS3	14.435	56.781	17.756	1.456	196.724
PPFIA3	0.728	1.4	2.896	1.233	1.479
LOC100101266	0.182	0.293	0.163	0.307	0.091
PSMA6	38.883	27.305	38.685	35.709	44.716
SNORD114-7	0	0	0	0	0
LOC440925	0.954	0.072	1.043	0.082	0.282
INSRR	0.009	0.16	0.011	0.114	0.019
DAB2IP	24.964	33.654	29.001	31.02	20.797
SP100	25.806	21.33	23.736	25.795	33.553
IL2RA	0.014	0.117	0.065	0.168	0.041
FANCI	1.893	1.641	1.909	1.645	2.846
GPRC5A	1.896	2.671	3.502	0.929	2.833
GADL1	0	0	0	0.014	0
PSAPL1	0	0	0	0	0
MSH3	7.622	2.371	4.465	2.302	5.761
CBX8	3.155	0.734	3.169	0.796	4.194
POLE4	18.664	19.737	27.191	25.779	32.407
EAPP	25.554	13.828	24.567	18.265	23.39
COBLL1	2.496	3.702	1.98	3.116	2.233
C1orf86	8.812	10.581	18.037	12.126	10.076
OR6C2	0	0	0	0	0
GZMM	1.088	1.002	0.938	1.37	1.783
RAB11FIP4	8.532	0.275	6.217	0.186	9.028
PRKCDBP	13.911	60.781	13.45	70.834	8.594
EXTL3	9.705	11.684	11.57	11.027	9.677
IAH1	20.466	17.096	23.676	21.03	22.876
TNFRSF10D	2.564	3.514	1.938	1.753	3.351
NOXO1	0.343	0.115	0.564	0.079	0.215
CYP11B1	0	0	0	0	0
FGF23	0	0.041	0	0	0
IFI27L1	3.916	4.359	7.229	3.462	5.288
LOC149620	0.01	0.098	0.024	0.013	0.051
YIPF4	7.653	7.24	5.792	7.925	6.902
CBWD6	1.903	1.895	2.757	2.112	2.683
SLC11A2	17.418	5.541	17.524	5.864	23.45
TMEM30C	0	0	0	0	0
CD302	2.863	5.289	1.928	8.516	2.063
MSL1	13.665	16.797	12.275	12.764	17.669
B4GALNT2	0	0	0	0	0
GLI1	2.581	0.925	0.725	4.985	1.017
OR4K2	0	0.227	0	0	0
OR10A5	0	0.032	0	0	0
RND1	0.238	1.402	0.569	0.125	3.797
STXBP2	37.106	1.626	46.932	2.664	39.506
SIGLECP3	0.094	0.443	0.18	1.314	0.357
EEF1B2	332.406	181.133	415.833	303.488	402.154
DRGX	0	0	0	0	0
SOD2	76.077	76.849	90.173	73.897	338.501
CEACAM22P	1.053	1.329	0.963	0.326	1.215
TRABD	10.297	7.606	19.744	6.101	15.501
LY6E	225.085	89.294	396.891	147.948	267.724
LOC441046	0.356	0.313	0.3	0.179	0.126
FUT4	1.043	1.373	1.059	2.701	0.916
VTCN1	19.677	0.282	28.319	0.013	49.492
SNORD85	0	0	0	0	0
CLU	1433.472	480.013	2411.369	494.837	2753.916
KRTAP3-2	0	0	0	0	0
BOP1	5.459	3.335	10.482	6.775	5.719
IER3	13.603	40.552	15.313	7.969	44.913
ADRA2A	1.707	3.839	1.151	3.228	1.509
NDST4	0	0.803	0.012	0.614	0.031
C6orf191	0	0	0	0	0
OR2T11	0	0	0	0	0
ZNF611	5.554	1.54	4.623	1.376	3.795
RIBC2	7.894	0.151	4.156	0	7.812
TAS2R43	0.084	0.03	0	0	0.028
TANK	14.907	10.744	13.071	10.249	21.531
KEAP1	30.919	23.461	40.493	23.987	31.362
DNAJC28	0.585	0.504	0.349	0.219	0.553
GNAO1	1.042	5.71	2.316	2.861	1.365
CASC4	64.343	29.743	44.333	42.507	58.481
KRT9	0.012	0.134	0	0.122	0.012
ELF4	10.617	5.077	10.516	5.59	13.274
C17orf98	0	0.054	0	0	0
C15orf33	2.314	0.735	1.241	0.555	0.989
PLAT	49.548	14.751	30.332	58.13	56.896
C11orf40	0	0.047	0	0	0
ADCY10	0	0.037	0.008	0.026	0.007
KRTAP10-10	0	0.027	0	0	0
ZXDC	15.029	13.992	14.92	11.27	13.678
PMEPA1	6.033	7.998	8.4	21.472	7.869
TARBP2	15.385	4.696	21.715	5.451	18.767
TKTL2	0	0	0	0.012	0.02
RBMS3	0.684	2.304	0.643	2.602	0.891
PLSCR1	18.04	10.189	20.8	11.553	25.083
TRIM27	20.995	11.738	28.622	14.738	25.659
C16orf89	3.729	2.207	4.592	3.182	0.932
COX11	27.123	19.611	22.537	17.096	26.817
SYN3	0.355	0.074	0.224	0.157	0.01
SNHG3-RCC1	3.852	1.85	5.67	3.297	6.87
CD163L1	0.019	0.179	0.037	0.114	0.037
EPB41	3.906	14.741	4.167	11.404	4.789
ZNF483	2.127	3.619	2.577	1.465	1.957
FRZB	1.266	10.957	1.61	37.431	0.515
TRUB2	14.658	8.399	18.378	9.893	14.797
ARID1B	13.275	11.547	13.689	9.981	11.084
SLC26A3	0.031	0.044	0	0	0
PNLDC1	1.576	0.016	1.407	0.075	2.311
PPCS	18.877	13.752	20.674	17.698	28.031
RBBP7	46.859	45.221	52.143	63.239	65.811
CD2AP	9.712	3.722	6.166	4.595	11.01
YTHDF3	11.967	14.213	8.515	12.853	9.725
CLTA	84.643	52.007	89.255	72.29	93.446
GOLGA8E	0.175	0.14	0.189	0.087	0.257
FPR2	0.014	0.242	0.034	0.052	0
DDAH2	67.252	48.757	97.734	58.068	39.044
NDE1	6.698	68.021	7.773	44.432	7.248
FAM18B	17.852	6.737	12.437	8.326	18.393
KLHL4	0.7	2.933	0.543	2.979	0.455
TRIL	1.908	2.935	3.656	4.702	1.947
C20orf152	0.049	0.035	0.077	0.02	0.081
MRPL14	23.157	21.081	30.799	15.337	29.161
KANK1	15.185	42.445	15.422	40.814	13.086
HIGD2B	0	0.055	0	0	0.077
RNF26	18.277	20.314	22.869	15.486	18.633
ARG1	0.04	0.106	0.071	0.024	0.04
CDC42SE1	9.03	14.403	10.169	11.579	12.116
BSPH1	0	0.047	0	0	0
MPI	21.66	14.065	30.546	13.847	24.003
ESPL1	0.078	0.028	0.216	0.063	0.233
WT1	76.855	40.953	79.157	33.155	52.096
C4orf39	0.737	0.352	0.896	0.323	0.329
KLRC4	0	0.033	0	0	0.154
TSPAN33	6.105	1.611	6.707	4.551	9.042
SNORD115-2	0	0	0	0	0
MYOG	0	0.035	0	0	0
TSLP	0.12	0.14	0.065	0.4	0.109
RRP12	11.379	3.246	13.352	4.788	9.424
SNORD67	0.26	0.278	0.311	0	0
CRYBA1	0	0	0	0	0
TUBB2C	565.857	73.864	314.696	51.367	296.91
MRPL16	17.277	18.061	21.198	16.74	19.478
SHPK	4.004	2.703	3.988	2.266	3.698
NOG	0.121	0.016	0.108	0.167	0.121
DDI1	0	0	0	0	0
KLRF1	0.736	0.309	1.851	0.644	1.051
SPACA4	0.146	0.063	0.245	0	1.024
NMUR1	0.542	0.187	0.595	0.535	1.469
GSX2	0	0	0	0	0
SCARNA2	4.225	1.311	3.824	0.417	0.341
HLA-DRB6	23.267	9.266	24.07	22.514	88.752
DNAH17	0.502	0.455	0.534	0.455	0.557
ZNF597	1.433	1.049	1.134	0.668	1.028
PDZK1IP1	42.706	0.137	59.317	0.353	180.098
CCDC115	31.858	21.775	36.642	21.648	27.539
FBP2	0	0.023	0	0	0
C3orf32	0.618	0.752	0.184	0.652	1.132
MELK	0.315	0.337	0.331	0.062	0.957
TBX15	0.009	0.178	0.033	0.057	0
RPL8	1532.156	892.891	2840.006	1338.901	1696.377
PNMT	1.799	0.078	2.787	1.043	0.389
RENBP	2.244	2.073	2.348	4.243	3.906
IRF5	16.519	2.295	15.524	3.621	18.322
NAALADL2	7.057	1.97	3.579	2.468	1.967
SHKBP1	15.2	19.807	19.525	21.833	18.472
CANT1	17.762	10.385	19.247	9.975	15.651
RIC8B	3.973	3.75	2.553	3.555	3.941
SYDE1	5.119	12.872	6.72	16.195	3.351
HAND2	15.786	23.617	23.093	42.739	6.306
SETDB1	10.673	8.389	11.028	7.718	9.564
CCT8	57.947	28.346	49.4	51.125	60.004
GSG2	0.133	0.055	0.195	0.025	0.43
PPHLN1	18.018	10.703	17.205	13.443	19.652
SHFM1	37.065	26.662	49.86	32.889	48.169
SNAR-A13	0	0	0	0	0
UBE2N	22.468	12.332	17.736	16.576	20.394
ZCCHC14	10.293	6.127	9.111	8.14	6.58
NR5A2	0.844	1.488	0.285	3.224	0.268
TXN	195.805	62.901	167.793	113.25	356.646
HTR3D	0.037	0.04	0	0	0
HGS	38.452	33.014	50.278	29.094	38.464
GPR17	0.081	3.492	0.125	0.441	0.105
NPIPL3	8.485	7.822	12.985	5	17.257
FGF11	0.152	1.151	0.433	1.448	0.187
TCP10	0.024	0.013	0.029	0	0.024
RPL23AP82	11.293	9.818	9.116	11.448	10.679
CRIPT	6.64	4.786	5.629	5.009	6.028
TNFSF18	0	0	0.046	0	0
DVL1	25.844	25.15	40.944	21.732	25.252
GTF2I	66.487	41.326	53.133	43.988	53.332
IL1RAPL2	0.048	0	0.126	0.012	0.019
TXNDC6	7.116	0.219	3.617	0.058	5.806
NDUFB6	20.852	15.043	21.681	21.956	18.875
POU5F1B	0.555	0.096	0.598	0.022	0.644
TMEM51	7.542	1.469	7.835	2.382	11.006
NUDT14	13.728	3.184	10.959	3.35	13.023
PIK3CD	2.892	4.452	3.376	3.282	5.235
RGPD5	4.445	3.221	2.968	3.954	3.332
SNORD115-3	0	0	0	0	0
OR7D4	0	0.065	0	0	0
KCTD15	5.779	12.209	7.564	14.94	4.643
TSSK2	0.187	0.367	0.242	0.287	0.172
PSD2	0.145	0.108	0.091	0.062	0.196
PPP1R12B	58.989	660.792	56.914	420.702	75.617
CDC40	6.485	4.313	4.985	5.333	5.485
LEO1	5.963	4.21	6.191	6.133	5.435
ADAM28	6.437	0.392	11.567	1.429	12.625
PFKP	19.644	43.446	26.33	52.808	35.468
KDM5C	20.539	17.556	21.874	14.711	16.129
ANTXR2	19.564	101.933	16.717	102.783	11.738
DPP4	14.842	1.231	27.252	7.537	4.617
GFRA2	1.737	0.335	5.451	0.651	0.19
FAM63B	3.445	2.787	1.897	2.117	1.462
OR2D3	0	0	0	0	0
TMEM209	8.371	4.537	6.096	4.81	7.048
KRTAP13-3	0	0	0	0	0
CTDSPL2	4.634	4.072	3.72	4.782	4.015
HOMEZ	4.759	3.604	4.943	2.55	5.068
DMP1	0	0.069	0	0	0
YWHAB	64.662	54.299	47.66	72.794	68.845
ANKRD44	1.102	2.246	0.738	2.094	0.958
CDC42EP2	6.35	11.514	10.519	11.547	6.679
EIF4A2	248.563	192.834	219.918	232.342	264.367
PPIL1	14.081	6.626	13.492	9.437	11.251
FBXO18	19.172	19.758	21.4	19.357	18.457
ARID5B	52.857	271.732	47.99	127.553	75.388
NRAP	0.65	0	0.332	0	0.273
KBTBD2	7.791	11.274	7.156	10.727	8.748
BCL2L2	13.891	25.437	10.399	22.516	9.024
REG1P	0	0	0	0	0
AVPR2	1.021	3.256	1.036	4.815	0.8
ABCC12	0	0	0	0	0
SLC6A14	0.084	0.078	0.012	0	0.868
NRN1	1.894	7.262	1.625	16.28	1.11
C7orf45	0.024	0.078	0	0	0
FBXW2	5.787	7.165	5.45	7.868	5.973
FAM154B	20.514	0.14	7.365	0.107	11.578
MRPS34	26.682	22.039	53.282	22.159	35.078
ITGB3	3.215	17.927	2.948	18.914	6.913
GATSL1	0.809	4.389	1.519	1.806	1.59
RGSL1	0	0.009	0	0	0
C11orf24	9.44	18.651	14.168	18.566	9.861
ZNF251	4.855	6.182	4.655	4.151	6.369
VWA2	13.785	0.478	13.698	1.154	7.14
LYPD1	78.22	0.124	136.813	0.142	135.974
SEMA6B	0.669	4.881	1.383	4.967	0.857
DVL2	16.394	17.955	19.827	15.886	11.837
MICAL2	9.719	47.482	9.172	45.375	14.084
MRPS14	10.014	8.532	11.137	9.248	9.302
KDM3A	9.645	9.209	8.074	8.8	10.07
CAMSAP1L1	5.379	7.438	3.886	6.937	3.687
ATP1B1	56.36	48.669	57.54	89.237	37.814
C6orf165	14.235	0.146	5.522	0.03	10.281
TATDN2	14.744	12.478	17.034	16.29	12.727
TRIM41	12.861	6.538	13.032	5.475	13.609
DFNB59	1.131	0.829	1.226	0.539	1.362
TMEM161A	17.515	15.264	22.708	14.438	14.471
NOLC1	20.316	11.964	20.869	13.701	16.098
AMELY	0	0	0	0	0
PPP1R10	15.77	14.152	21.577	18.268	14.083
OR4L1	0	0	0	0	0
DNAH8	0.059	0.114	0.057	0	0.071
RPL3L	0	0.059	0	0	0
CA8	5.209	0.4	5.158	1.051	5.006
C20orf56	0.181	0.012	0.021	0	0.023
NAT15	20.415	22.111	26.858	17.241	21.558
C20orf107	0.042	0.268	0.05	0.102	0.209
TEDDM1	0.023	0.073	0.055	0.014	0.023
C17orf37	26.861	15.827	30.056	14.636	29.205
CDCA5	0.76	0.53	1.21	0.418	1.387
RPL7A	1801.382	823.751	2559.426	1230.505	2162.524
ZFPL1	25.795	21.405	37.248	17.877	26.752
CNOT6L	10.405	8.386	7.836	8.405	9.353
TLE1	20.761	17.81	19.764	19.515	13.376
TULP2	0.128	0.615	0.057	0.059	0.032
TOP3A	4.67	4.177	4.46	3.736	4.222
LOC144571	1.44	3.358	1.765	4.714	1.662
RBM17	14.687	11.298	14.743	13.219	13.633
CDC5L	9.882	7.69	8.315	9.301	7.829
MORF4L2	94.802	71.851	74.729	115.54	76.972
ZNF507	4.784	3.611	2.91	3.421	4.014
LILRP2	0	0.109	0	0	0.063
COPS4	15.23	16.079	12.69	18.076	13.373
FAM170A	0.366	0.245	0.191	0.112	0.916
MFSD6L	3.433	0.028	3.113	0.033	3.646
WFDC5	0.114	0	0	0	0.028
FRAT2	3.349	1.432	3.675	2.667	4.199
RHOH	0.716	0.52	0.684	0.859	1.89
RWDD2B	9.48	10.624	9.015	11.574	10.591
TPD52L1	25.648	3.402	44.032	14.485	24.277
OTUD7A	0.185	0.693	0.409	0.431	0.176
NUBPL	5.613	3.358	4.341	3.551	4.324
LRRC37A3	5.274	4.241	5.329	2.158	4.669
SYNC	5.031	6.176	4.265	6.164	5.57
PDX1	0.033	0	0.013	0	0
XKR6	0.122	0.171	0.282	0.075	0.114
KIAA0226	6.908	11.733	7.721	7.977	8.681
BAZ2B	17.264	21.971	14.834	15.222	16.429
TSTA3	21.498	19.673	30.736	16.908	28.641
LTBP3	74.795	97.074	119.421	105.601	46.679
